DATE,THREEFY10
2012-01-03,2.0014
2012-01-04,2.0276
2012-01-05,2.0407
2012-01-06,2.0261
2012-01-09,2.0142
2012-01-10,2.0269
2012-01-11,1.9848
2012-01-12,1.9853
2012-01-13,1.9480
2012-01-16,.
2012-01-17,1.9229
2012-01-18,1.9447
2012-01-19,2.0081
2012-01-20,2.0617
2012-01-23,2.1032
2012-01-24,2.1122
2012-01-25,2.0534
2012-01-26,2.0024
2012-01-27,1.9661
2012-01-30,1.9203
2012-01-31,1.8780
2012-02-01,1.8846
2012-02-02,1.8701
2012-02-03,1.9343
2012-02-06,1.9276
2012-02-07,1.9810
2012-02-08,1.9989
2012-02-09,2.0336
2012-02-10,1.9940
2012-02-13,2.0111
2012-02-14,1.9722
2012-02-15,1.9579
2012-02-16,2.0014
2012-02-17,2.0272
2012-02-20,.
2012-02-21,2.0653
2012-02-22,2.0426
2012-02-23,2.0312
2012-02-24,2.0230
2012-02-27,1.9770
2012-02-28,1.9688
2012-02-29,1.9911
2012-03-01,2.0313
2012-03-02,2.0105
2012-03-05,2.0235
2012-03-06,1.9895
2012-03-07,2.0009
2012-03-08,2.0335
2012-03-09,2.0540
2012-03-12,2.0621
2012-03-13,2.1321
2012-03-14,2.2701
2012-03-15,2.3031
2012-03-16,2.3356
2012-03-19,2.4076
2012-03-20,2.4347
2012-03-21,2.3920
2012-03-22,2.3729
2012-03-23,2.3391
2012-03-26,2.3255
2012-03-27,2.2769
2012-03-28,2.2731
2012-03-29,2.2424
2012-03-30,2.2698
2012-04-02,2.2664
2012-04-03,2.3260
2012-04-04,2.2988
2012-04-05,2.2550
2012-04-06,2.1459
2012-04-09,2.1076
2012-04-10,2.0508
2012-04-11,2.0616
2012-04-12,2.0835
2012-04-13,2.0489
2012-04-16,2.0282
2012-04-17,2.0410
2012-04-18,2.0295
2012-04-19,2.0095
2012-04-20,2.0121
2012-04-23,1.9867
2012-04-24,2.0050
2012-04-25,2.0126
2012-04-26,1.9996
2012-04-27,1.9820
2012-04-30,1.9722
2012-05-01,1.9885
2012-05-02,1.9713
2012-05-03,1.9704
2012-05-04,1.9319
2012-05-07,1.9235
2012-05-08,1.8978
2012-05-09,1.8836
2012-05-10,1.8901
2012-05-11,1.8642
2012-05-14,1.8198
2012-05-15,1.7947
2012-05-16,1.7820
2012-05-17,1.7455
2012-05-18,1.7386
2012-05-21,1.7425
2012-05-22,1.7667
2012-05-23,1.7380
2012-05-24,1.7631
2012-05-25,1.7519
2012-05-28,.
2012-05-29,1.7438
2012-05-30,1.6644
2012-05-31,1.6172
2012-06-01,1.5263
2012-06-04,1.5420
2012-06-05,1.5653
2012-06-06,1.6303
2012-06-07,1.6424
2012-06-08,1.6460
2012-06-11,1.6142
2012-06-12,1.6604
2012-06-13,1.6240
2012-06-14,1.6414
2012-06-15,1.6114
2012-06-18,1.6028
2012-06-19,1.6242
2012-06-20,1.6512
2012-06-21,1.6446
2012-06-22,1.6765
2012-06-25,1.6469
2012-06-26,1.6585
2012-06-27,1.6488
2012-06-28,1.6120
2012-06-29,1.6416
2012-07-02,1.6013
2012-07-03,1.6191
2012-07-04,.
2012-07-05,1.6041
2012-07-06,1.5699
2012-07-09,1.5386
2012-07-10,1.5226
2012-07-11,1.5259
2012-07-12,1.5065
2012-07-13,1.5083
2012-07-16,1.4902
2012-07-17,1.5039
2012-07-18,1.5006
2012-07-19,1.5162
2012-07-20,1.4898
2012-07-23,1.4682
2012-07-24,1.4453
2012-07-25,1.4345
2012-07-26,1.4497
2012-07-27,1.5317
2012-07-30,1.5224
2012-07-31,1.5084
2012-08-01,1.5457
2012-08-02,1.5231
2012-08-03,1.5789
2012-08-06,1.5871
2012-08-07,1.6443
2012-08-08,1.6733
2012-08-09,1.6888
2012-08-10,1.6714
2012-08-13,1.6666
2012-08-14,1.7155
2012-08-15,1.7797
2012-08-16,1.8257
2012-08-17,1.8320
2012-08-20,1.8342
2012-08-21,1.8278
2012-08-22,1.7569
2012-08-23,1.7177
2012-08-24,1.7119
2012-08-27,1.6847
2012-08-28,1.6667
2012-08-29,1.6684
2012-08-30,1.6456
2012-08-31,1.5872
2012-09-03,.
2012-09-04,1.5879
2012-09-05,1.5931
2012-09-06,1.6478
2012-09-07,1.6486
2012-09-10,1.6598
2012-09-11,1.6742
2012-09-12,1.7194
2012-09-13,1.7118
2012-09-14,1.7971
2012-09-17,1.8119
2012-09-18,1.8007
2012-09-19,1.7851
2012-09-20,1.7830
2012-09-21,1.7608
2012-09-24,1.7348
2012-09-25,1.6987
2012-09-26,1.6431
2012-09-27,1.6371
2012-09-28,1.6234
2012-10-01,1.6155
2012-10-02,1.6100
2012-10-03,1.6021
2012-10-04,1.6344
2012-10-05,1.6854
2012-10-08,.
2012-10-09,1.6927
2012-10-10,1.6799
2012-10-11,1.6701
2012-10-12,1.6632
2012-10-15,1.6621
2012-10-16,1.6974
2012-10-17,1.7736
2012-10-18,1.8154
2012-10-19,1.7936
2012-10-22,1.8137
2012-10-23,1.7905
