Date,diet
2016-08-07,46
2016-08-14,55
2016-08-21,66
2016-08-28,53
2016-09-04,66
2016-09-11,40
2016-09-18,51
2016-09-25,54
2016-10-02,51
2016-10-09,50
2016-10-16,46
2016-10-23,52
2016-10-30,52
2016-11-06,49
2016-11-13,41
2016-11-20,44
2016-11-27,47
2016-12-04,53
2016-12-11,39
2016-12-18,36
2016-12-25,44
2017-01-01,100
2017-01-08,59
2017-01-15,67
2017-01-22,72
2017-01-29,65
2017-02-05,74
2017-02-12,58
2017-02-19,70
2017-02-26,73
2017-03-05,68
2017-03-12,62
2017-03-19,66
2017-03-26,74
2017-04-02,34
2017-04-09,58
2017-04-16,47
2017-04-23,59
2017-04-30,54
2017-05-07,36
2017-05-14,73
2017-05-21,48
2017-05-28,51
2017-06-04,37
2017-06-11,58
2017-06-18,45
2017-06-25,39
2017-07-02,58
2017-07-09,54
2017-07-16,61
2017-07-23,58
2017-07-30,51
2017-08-06,80
2017-08-13,59
2017-08-20,48
2017-08-27,44
2017-09-03,49
2017-09-10,55
2017-09-17,52
2017-09-24,46
2017-10-01,42
2017-10-08,52
2017-10-15,51
2017-10-22,46
2017-10-29,50
2017-11-05,35
2017-11-12,43
2017-11-19,42
2017-11-26,34
2017-12-03,45
2017-12-10,41
2017-12-17,37
2017-12-24,40
2017-12-31,68
2018-01-07,72
2018-01-14,58
2018-01-21,56
2018-01-28,71
2018-02-04,62
2018-02-11,46
2018-02-18,34
2018-02-25,45
2018-03-04,55
2018-03-11,51
2018-03-18,67
2018-03-25,70
2018-04-01,73
2018-04-08,68
2018-04-15,60
2018-04-22,52
2018-04-29,48
2018-05-06,67
2018-05-13,71
2018-05-20,44
2018-05-27,68
2018-06-03,67
2018-06-10,51
2018-06-17,37
2018-06-24,53
2018-07-01,45
2018-07-08,51
2018-07-15,66
2018-07-22,46
2018-07-29,52
2018-08-05,54
2018-08-12,67
2018-08-19,61
2018-08-26,46
2018-09-02,40
2018-09-09,52
2018-09-16,42
2018-09-23,53
2018-09-30,54
2018-10-07,50
2018-10-14,56
2018-10-21,52
2018-10-28,63
2018-11-04,63
2018-11-11,50
2018-11-18,44
2018-11-25,35
2018-12-02,61
2018-12-09,41
2018-12-16,35
2018-12-23,39
2018-12-30,59
2019-01-06,66
2019-01-13,63
2019-01-20,69
2019-01-27,55
2019-02-03,70
2019-02-10,64
2019-02-17,63
2019-02-24,71
2019-03-03,53
2019-03-10,72
2019-03-17,44
2019-03-24,50
2019-03-31,79
2019-04-07,69
2019-04-14,61
2019-04-21,58
2019-04-28,62
2019-05-05,49
2019-05-12,82
2019-05-19,58
2019-05-26,56
2019-06-02,57
2019-06-09,68
2019-06-16,57
2019-06-23,46
2019-06-30,52
2019-07-07,49
2019-07-14,66
2019-07-21,56
2019-07-28,49
2019-08-04,79
2019-08-11,59
2019-08-18,42
2019-08-25,62
2019-09-01,57
2019-09-08,35
2019-09-15,62
2019-09-22,48
2019-09-29,60
2019-10-06,43
2019-10-13,36
2019-10-20,52
2019-10-27,59
2019-11-03,48
2019-11-10,71
2019-11-17,53
2019-11-24,47
2019-12-01,48
2019-12-08,29
2019-12-15,44
2019-12-22,43
2019-12-29,60
2020-01-05,84
2020-01-12,64
2020-01-19,65
2020-01-26,63
2020-02-02,82
2020-02-09,63
2020-02-16,54
2020-02-23,67
2020-03-01,65
2020-03-08,37
2020-03-15,44
2020-03-22,33
2020-03-29,54
2020-04-05,57
2020-04-12,73
2020-04-19,67
2020-04-26,67
2020-05-03,50
2020-05-10,52
2020-05-17,63
2020-05-24,60
2020-05-31,50
2020-06-07,58
2020-06-14,64
2020-06-21,54
2020-06-28,56
2020-07-05,52
2020-07-12,53
2020-07-19,61
2020-07-26,61
2020-08-02,67
2020-08-09,65
2020-08-16,41
2020-08-23,53
2020-08-30,53
2020-09-06,54
2020-09-13,54
2020-09-20,53
2020-09-27,43
2020-10-04,52
2020-10-11,49
2020-10-18,51
2020-10-25,48
2020-11-01,48
2020-11-08,46
2020-11-15,48
2020-11-22,37
2020-11-29,41
2020-12-06,38
2020-12-13,41
2020-12-20,41
2020-12-27,60
2021-01-03,86
2021-01-10,67
2021-01-17,71
2021-01-24,66
2021-01-31,56
2021-02-07,60
2021-02-14,57
2021-02-21,67
2021-02-28,41
2021-03-07,52
2021-03-14,43
2021-03-21,46
2021-03-28,42
2021-04-04,52
2021-04-11,67
2021-04-18,66
2021-04-25,54
2021-05-02,55
2021-05-09,55
2021-05-16,54
2021-05-23,43
2021-05-30,44
2021-06-06,43
2021-06-13,38
2021-06-20,42
2021-06-27,53
2021-07-04,35
2021-07-11,44
2021-07-18,50
2021-07-25,56
2021-08-01,31
